_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_ORTHO_HT,_FIX_ID,_H_ACC,_V_ACC,_SPEED,_BEARING,Aleket_cnt
104,,0,07/16/2025 08:26:30.000 GMT+03:00,33.097970345,35.577822805,94.699,0.0,4.0,0.01,0.014,0.003,90.272,0
105,,0,07/16/2025 08:27:18.000 GMT+03:00,33.097682915,35.577847803,94.954,0.0,4.0,0.01,0.01,0.03,169.551,0
106,,0,07/16/2025 08:27:47.000 GMT+03:00,33.0975084,35.577866807,94.943,0.0,4.0,0.01,0.015,0.011,79.194,0
107,,0,07/16/2025 08:28:15.000 GMT+03:00,33.097320168,35.577884715,95.102,0.0,4.0,0.01,0.01,0.05,163.267,0
108,,0,07/16/2025 08:28:35.000 GMT+03:00,33.097176215,35.577900447,95.239,0.0,4.0,0.01,0.01,0.043,157.743,0
109,,0,07/16/2025 08:29:07.000 GMT+03:00,33.096936937,35.577920985,95.613,0.0,4.0,0.01,0.01,0.016,185.021,0
110,,0,07/16/2025 08:29:37.000 GMT+03:00,33.096901338,35.57817728,95.839,0.0,5.0,0.06,0.084,0.039,353.619,0
111,,0,07/16/2025 08:30:59.000 GMT+03:00,33.097162725,35.578148173,94.826,0.0,4.0,0.01,0.011,0.013,277.388,0
112,,0,07/16/2025 08:31:35.000 GMT+03:00,33.097162823,35.57814797,94.804,0.0,4.0,0.01,0.01,0.032,289.823,0
113,,0,07/16/2025 08:32:23.000 GMT+03:00,33.097450557,35.578119417,94.57,0.0,4.0,0.01,0.013,0.188,281.177,0
114,,0,07/16/2025 08:33:14.000 GMT+03:00,33.097684045,35.578096865,94.536,0.0,4.0,0.01,0.01,0.009,267.144,0
115,,0,07/16/2025 08:34:02.000 GMT+03:00,33.097939827,35.57807188,94.406,0.0,4.0,0.01,0.01,0.005,249.866,0
116,,0,07/16/2025 08:34:46.000 GMT+03:00,33.09816986,35.578048293,94.183,0.0,4.0,0.01,0.01,0.014,356.084,0
117,,0,07/16/2025 08:36:30.000 GMT+03:00,33.097480193,35.578373305,94.325,0.0,4.0,0.01,0.01,0.011,129.55,0
118,,0,07/16/2025 08:36:57.000 GMT+03:00,33.097306425,35.578389992,94.428,0.0,4.0,0.01,0.01,0.03,125.943,0
119,,0,07/16/2025 08:37:46.000 GMT+03:00,33.09702009,35.578416133,94.719,0.0,4.0,0.01,0.01,0.015,201.67,0
120,,0,07/16/2025 08:38:03.000 GMT+03:00,33.096903412,35.578432365,95.064,0.0,4.0,0.14,0.083,0.42,132.01,0
121,,0,07/16/2025 08:39:07.000 GMT+03:00,33.097098893,35.578614135,94.113,0.0,4.0,0.01,0.015,0.012,319.104,0
122,,0,07/16/2025 08:39:32.000 GMT+03:00,33.097255013,35.578597857,94.02,0.0,4.0,0.01,0.013,0.015,301.233,0
123,,0,07/16/2025 08:39:52.000 GMT+03:00,33.097396628,35.578588542,94.005,0.0,4.0,0.01,0.015,0.068,332.353,0
124,,0,07/16/2025 08:44:54.000 GMT+03:00,33.098714693,35.578470917,93.089,0.0,4.0,0.01,0.01,0.04,295.23,0
125,,0,07/16/2025 08:45:14.000 GMT+03:00,33.098896515,35.578452865,93.219,0.0,4.0,0.01,0.01,0.049,316.095,0
126,,0,07/16/2025 08:45:35.000 GMT+03:00,33.099083983,35.578433398,93.263,0.0,4.0,0.017,0.01,0.077,315.183,0
127,,0,07/16/2025 08:46:03.000 GMT+03:00,33.099335033,35.578411065,93.225,0.0,4.0,0.01,0.011,0.024,2.006,0
128,,0,07/16/2025 08:46:37.000 GMT+03:00,33.099620447,35.578383893,93.354,0.0,4.0,0.01,0.01,0.013,43.073,0
129,,0,07/16/2025 08:46:57.000 GMT+03:00,33.099814418,35.578362153,93.115,0.0,4.0,0.01,0.01,0.185,14.142,0
130,,0,07/16/2025 08:47:20.000 GMT+03:00,33.099972053,35.578343172,93.273,0.0,4.0,0.01,0.02,0.112,296.601,0
131,,0,07/16/2025 08:47:44.000 GMT+03:00,33.100150873,35.578327622,93.29,0.0,5.0,0.012,0.018,0.116,10.853,0
132,,0,07/16/2025 08:48:06.000 GMT+03:00,33.100335063,35.578308663,92.908,0.0,4.0,0.01,0.01,0.06,12.258,0
133,,0,07/16/2025 08:49:04.000 GMT+03:00,33.10025139,35.578070933,93.02,0.0,4.0,0.01,0.01,0.025,156.906,0
134,,0,07/16/2025 08:49:34.000 GMT+03:00,33.100024018,35.578093202,93.213,0.0,4.0,0.01,0.01,0.01,163.205,0
135,,0,07/16/2025 08:50:06.000 GMT+03:00,33.099850235,35.578108447,93.271,0.0,4.0,0.01,0.013,0.009,198.156,0
136,,0,07/16/2025 08:50:35.000 GMT+03:00,33.099682517,35.578130988,93.478,0.0,4.0,0.01,0.011,0.024,128.019,0
137,,0,07/16/2025 08:51:11.000 GMT+03:00,33.099507577,35.5781474,93.505,0.0,4.0,0.01,0.01,0.038,156.269,0
138,,0,07/16/2025 08:51:49.000 GMT+03:00,33.099217305,35.578176435,93.47,0.0,4.0,0.01,0.01,0.05,143.946,0
139,,0,07/16/2025 08:52:18.000 GMT+03:00,33.098984772,35.578194765,92.755,0.0,5.0,0.11,0.21,0.052,181.601,0
140,,0,07/16/2025 08:52:43.000 GMT+03:00,33.098785178,35.57821543,92.661,0.0,5.0,0.64,0.98,0.079,121.139,0
