Id,Aleket_cnt,Comments,aleketlv
542,3,,3.0
543,3,,3.0
544,3,,3.0
545,3,,3.0
546,3,,3.0
547,2,,2.0
548,2,,2.0
549,2,,2.0
550,2,,2.0
551,3,,3.0
552,3,,3.0
553,3,,3.0
554,2,,2.0
555,2,,2.0
556,2,,2.0
557,2,,2.0
558,2,,2.0
559,2,,2.0
560,2,,2.0
561,2,Include water lines,2.0
562,2,,2.0
563,2,,2.0
564,2,,2.0
565,2,,2.0
566,2,,2.0
567,2,,2.0
568,2,,2.0
569,2,Allmust 50 flowers,2.0
570,2,,2.0
571,2,,2.0
572,2,,2.0
573,2,,2.0
574,2,,2.0
575,2,,2.0
576,2,,2.0
577,2,,2.0
578,2,,2.0
579,2,,2.0
580,2,,2.0
581,3,,3.0
582,3,,3.0
583,3,,3.0
584,2,,2.0
585,2,,2.0
586,2,,2.0
587,2,,2.0
588,2,,2.0
589,1,,1.0
590,2,,2.0
591,2,,2.0
592,2,,2.0
593,2,,2.0
594,2,,2.0
595,2,,2.0
596,2,,2.0
597,2,,2.0
598,2,,2.0
599,2,,2.0
600,1,,1.0
601,2,,2.0
602,1,,1.0
603,1,,1.0
604,1,,1.0
605,1,,1.0
606,2,,2.0
607,1,,1.0
608,1,Include water lines,1.0
609,2,,2.0
610,2,,2.0
611,2,,2.0
612,2,,2.0
613,2,,2.0
614,2,,2.0
615,2,,2.0
616,2,,2.0
617,2,,2.0
618,2,,2.0
619,2,,2.0
620,2,,2.0
621,2,,2.0
622,2,,2.0
623,2,,2.0
624,2,,2.0
625,2,,2.0
626,2,,2.0
627,2,,2.0
628,2,,2.0
629,2,,2.0
630,2,,2.0
631,2,,2.0
632,2,,2.0
633,2,,2.0
634,2,,2.0
635,3,,3.0
636,3,,3.0
637,3,,3.0
638,2,,2.0
639,2,,2.0
640,2,,2.0
641,2,,2.0
642,2,,2.0
643,2,,2.0
644,2,,2.0
645,2,,2.0
646,2,,2.0
647,2,,2.0
648,2,,2.0
649,2,,2.0
650,2,,2.0
651,2,,2.0
652,2,,2.0
653,2,Include water lines,2.0
654,1,,1.0
655,1,,1.0
656,1,,1.0
657,1,,1.0
658,1,,1.0
659,1,,1.0
660,1,,1.0
661,1,,1.0
662,1,,1.0
663,1,,1.0
664,1,,1.0
665,1,Allmust 50 flowers,1.0
666,2,,2.0
667,2,Allmust 50 flowers,2.0
668,2,,2.0
669,2,,2.0
670,2,,2.0
671,2,,2.0
672,2,,2.0
673,2,,2.0
674,2,,2.0
675,2,,2.0
676,2,,2.0
677,2,,2.0
678,2,,2.0
679,1,,1.0
680,2,,2.0
681,2,,2.0
682,2,,2.0
683,2,,2.0
684,2,,2.0
685,1,,1.0
686,2,,2.0
687,1,,1.0
688,1,,1.0
689,1,,1.0
690,1,,1.0
691,1,,1.0
692,1,,1.0
693,1,,1.0
694,1,,1.0
695,1,,1.0
696,1,,1.0
697,1,,1.0
698,2,,2.0
699,1,,1.0
700,1,,1.0
701,1,,1.0
702,1,Include water lines,1.0
703,2,,2.0
704,1,Allmust 50 flowers,1.0
705,1,,1.0
706,1,,1.0
707,2,,2.0
708,2,,2.0
709,2,,2.0
710,2,,2.0
711,2,,2.0
712,2,,2.0
713,2,,2.0
714,2,,2.0
715,2,,2.0
716,2,,2.0
717,2,,2.0
718,2,,2.0
719,2,,2.0
720,2,,2.0
721,2,,2.0
722,2,,2.0
723,2,,2.0
724,2,,2.0
