ObjectID,Speed,Heading,Elevation,Aleket_cnt
356.0,0.148,204.0,43.7,2
357.0,0.462,166.0,42.0,2
358.0,1.963,180.0,40.6,1
359.0,3.5,171.0,38.7,2
360.0,0.277,156.0,36.9,2
361.0,0.333,167.0,35.4,1
362.0,0.148,173.0,34.4,1
363.0,3.537,170.0,33.4,2
364.0,0.074,171.0,32.299,2
365.0,0.277,175.0,31.0,2
366.0,2.24,174.0,30.0,2
367.0,2.666,156.0,28.8,2
368.0,3.129,163.0,27.9,1
369.0,5.0,172.0,27.3,1
370.0,3.0,156.0,26.6,2
371.0,0.37,194.0,25.9,2
372.0,0.574,177.0,25.2,2
373.0,0.37,177.0,25.0,2
374.0,2.148,155.0,24.5,1
375.0,0.148,165.0,23.8,2
376.0,0.481,155.0,23.5,2
377.0,2.352,190.0,22.8,2
378.0,2.259,181.0,22.1,2
379.0,0.037,174.0,21.8,3
380.0,1.037,185.0,21.0,2
381.0,0.111,159.0,20.8,2
382.0,1.629,178.0,20.3,3
383.0,1.111,203.0,20.2,2
384.0,2.611,162.0,20.0,2
385.0,0.148,166.0,20.0,0
386.0,0.055,166.0,19.9,2
387.0,4.778,160.0,19.9,2
388.0,0.222,171.0,19.8,1
389.0,4.444,162.0,19.5,1
390.0,3.537,147.0,19.2,1
391.0,0.166,73.0,21.0,1
392.0,0.129,7.0,21.3,1
393.0,3.092,344.0,21.2,1
394.0,1.426,40.0,21.3,2
395.0,0.166,333.0,21.5,2
396.0,5.352,353.0,22.0,3
397.0,0.518,346.0,22.5,3
398.0,2.537,351.0,22.5,3
399.0,0.351,355.0,22.9,3
400.0,0.851,348.0,23.7,3
401.0,0.074,358.0,24.5,2
402.0,3.5,345.0,25.1,2
403.0,0.277,7.0,25.4,3
404.0,1.055,69.0,25.8,2
405.0,4.352,344.0,26.4,2
406.0,0.148,340.0,27.0,2
407.0,1.037,11.0,27.6,2
408.0,4.833,349.0,28.3,3
409.0,2.74,331.0,28.9,3
410.0,3.778,345.0,29.7,3
411.0,2.333,355.0,30.6,3
412.0,1.055,353.0,31.5,3
413.0,0.166,12.0,32.9,3
414.0,0.222,19.0,34.1,2
415.0,0.203,341.0,35.5,3
416.0,3.074,358.0,36.6,3
417.0,4.741,353.0,37.5,3
418.0,0.388,341.0,38.5,3
419.0,0.407,341.0,40.1,3
420.0,0.074,356.0,41.2,3
421.0,1.74,307.0,42.6,3
422.0,1.907,11.0,44.9,2
423.0,0.129,44.0,45.0,2
424.0,0.074,170.0,43.6,3
425.0,4.037,171.0,42.3,3
426.0,2.389,181.0,40.7,3
427.0,3.926,161.0,39.4,3
428.0,3.796,174.0,38.4,3
429.0,3.111,156.0,37.6,3
430.0,4.352,175.0,36.5,3
431.0,0.425,140.0,35.5,3
432.0,0.963,155.0,34.0,2
433.0,2.611,187.0,32.4,2
434.0,3.426,77.0,31.3,2
435.0,0.388,156.0,30.5,1
436.0,0.092,232.0,29.7,1
437.0,2.944,171.0,28.9,2
438.0,1.666,177.0,28.5,2
439.0,0.37,176.0,27.8,2
440.0,0.611,156.0,27.1,2
441.0,4.444,168.0,26.5,3
442.0,0.703,176.0,25.7,3
443.0,0.481,178.0,25.3,3
444.0,5.111,157.0,24.8,3
445.0,4.648,171.0,24.3,3
446.0,4.407,167.0,23.6,3
447.0,3.296,168.0,22.8,3
448.0,2.981,142.0,22.0,3
449.0,1.851,148.0,21.4,3
450.0,2.852,143.0,21.0,3
451.0,0.722,160.0,20.8,3
452.0,2.24,145.0,20.5,3
453.0,3.389,156.0,20.3,3
454.0,3.537,143.0,20.1,3
455.0,3.963,159.0,19.9,3
456.0,4.796,168.0,20.0,2
457.0,0.296,111.0,19.7,2
458.0,0.518,295.0,20.1,1
459.0,4.148,340.0,20.3,3
460.0,4.278,351.0,20.5,3
461.0,0.185,337.0,20.8,3
462.0,0.185,279.0,21.0,3
463.0,0.111,16.0,21.5,3
464.0,0.796,352.0,21.7,3
