_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,aleket
118,,0,07/22/2025 08:46:28.000 GMT+03:00,33.132173813,35.64083862,93.365,0
119,,0,07/22/2025 08:46:54.000 GMT+03:00,33.131990313,35.640783327,93.249,0
120,,0,07/22/2025 08:47:23.000 GMT+03:00,33.131826442,35.640736202,93.108,0
121,,0,07/22/2025 08:47:50.000 GMT+03:00,33.131641782,35.640680672,93.16,0
122,,0,07/22/2025 08:48:34.000 GMT+03:00,33.131449675,35.640623772,93.001,0
123,,1,07/22/2025 08:48:46.000 GMT+03:00,33.131408412,35.640608335,93.074,1
124,,1,07/22/2025 08:49:14.000 GMT+03:00,33.13123464,35.64055972,92.994,1
126,,0,07/22/2025 08:49:22.000 GMT+03:00,33.131234403,35.640559448,93.005,0
127,,1,07/22/2025 08:49:39.000 GMT+03:00,33.1311567,35.64053241,93.001,1
128,,0,07/22/2025 08:51:29.000 GMT+03:00,33.130932527,35.640464422,92.964,0
129,,0,07/22/2025 08:53:11.000 GMT+03:00,33.130743188,35.640411035,92.995,0
130,,0,07/22/2025 08:54:04.000 GMT+03:00,33.13049672,35.640334402,92.819,0
131,,0,07/22/2025 08:54:43.000 GMT+03:00,33.1303069,35.640283857,92.819,0
132,,0,07/22/2025 08:55:46.000 GMT+03:00,33.130053837,35.640208292,92.744,0
133,,0,07/22/2025 08:57:46.000 GMT+03:00,33.130101927,35.639957122,92.817,0
134,,0,07/22/2025 08:59:10.000 GMT+03:00,33.130231498,35.639995658,92.811,0
135,,0,07/22/2025 08:59:47.000 GMT+03:00,33.130332317,35.640030617,92.846,0
136,,0,07/22/2025 09:00:30.000 GMT+03:00,33.130466753,35.640065772,92.839,0
137,,0,07/22/2025 09:01:19.000 GMT+03:00,33.130606073,35.640108777,92.849,0
138,,0,07/22/2025 09:03:49.000 GMT+03:00,33.130799665,35.6401659,92.983,0
139,,0,07/22/2025 09:05:34.000 GMT+03:00,33.130924783,35.640202167,93.03,0
140,,0,07/22/2025 09:06:44.000 GMT+03:00,33.131045668,35.640237885,93.05,0
141,,0,07/22/2025 09:09:42.000 GMT+03:00,33.131197922,35.640156667,92.921,0
142,,0,07/22/2025 09:10:29.000 GMT+03:00,33.131210893,35.640030442,92.969,0
143,,0,07/22/2025 09:11:14.000 GMT+03:00,33.131103885,35.639938447,92.772,0
144,,0,07/22/2025 09:11:57.000 GMT+03:00,33.130836262,35.639859652,92.911,0
145,,0,07/22/2025 09:12:31.000 GMT+03:00,33.13068126,35.639810557,92.855,0
146,,0,07/22/2025 09:13:07.000 GMT+03:00,33.130489362,35.639749943,92.739,0
149,,0,07/22/2025 09:14:31.000 GMT+03:00,33.130084953,35.639633447,92.797,0
