_ID,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_10_8_25,Remarks
177,08/10/2025 14:39:16.000 GMT+03:00,32.646787312,35.142752375,59.813,0.0,
178,08/10/2025 14:39:38.000 GMT+03:00,32.64688877,35.142944212,60.157,0.0,
179,08/10/2025 14:40:05.000 GMT+03:00,32.646998257,35.143148582,60.076,0.0,
180,08/10/2025 14:40:31.000 GMT+03:00,32.647102813,35.143340962,59.694,0.0,
181,08/10/2025 14:40:55.000 GMT+03:00,32.64721199,35.14354767,58.644,0.0,
182,08/10/2025 14:41:20.000 GMT+03:00,32.647313307,35.143736337,58.843,0.0,
183,08/10/2025 14:41:46.000 GMT+03:00,32.647422812,35.143939005,58.505,0.0,
184,08/10/2025 14:42:11.000 GMT+03:00,32.64753433,35.14414407,58.352,0.0,
185,08/10/2025 14:43:38.000 GMT+03:00,32.6476865,35.144422897,58.288,0.0,
186,08/10/2025 14:44:10.000 GMT+03:00,32.647797057,35.144632668,58.2,0.0,
187,08/10/2025 14:44:37.000 GMT+03:00,32.647912613,35.144843652,58.055,0.0,
188,08/10/2025 14:45:04.000 GMT+03:00,32.648026777,35.145057735,58.012,0.0,
189,08/10/2025 14:45:31.000 GMT+03:00,32.648133318,35.14525594,57.92,0.0,
190,08/10/2025 14:45:58.000 GMT+03:00,32.648240727,35.145453378,57.803,0.0,
193,08/10/2025 14:51:19.000 GMT+03:00,32.647777267,35.14549403,58.357,0.0,
194,08/10/2025 14:51:43.000 GMT+03:00,32.64765811,35.145277182,58.271,0.0,
195,08/10/2025 14:52:06.000 GMT+03:00,32.647545695,35.145070737,58.523,0.0,
196,08/10/2025 14:52:31.000 GMT+03:00,32.647440738,35.14486058,59.472,0.0,
197,08/10/2025 14:52:53.000 GMT+03:00,32.647331623,35.14465846,59.599,0.0,
198,08/10/2025 14:53:16.000 GMT+03:00,32.647215397,35.144448752,59.627,0.0,
199,08/10/2025 14:53:40.000 GMT+03:00,32.64709392,35.144238447,57.661,0.0,
200,08/10/2025 14:54:04.000 GMT+03:00,32.646985543,35.144036607,58.043,0.0,
201,08/10/2025 14:54:31.000 GMT+03:00,32.646866407,35.143824927,58.288,0.0,
202,08/10/2025 14:54:55.000 GMT+03:00,32.646762882,35.143618833,58.392,0.0,
203,08/10/2025 14:55:20.000 GMT+03:00,32.646652477,35.143400395,58.679,0.0,
204,08/10/2025 14:55:45.000 GMT+03:00,32.646538378,35.143190655,58.484,0.0,
205,08/10/2025 14:56:09.000 GMT+03:00,32.646434817,35.142982942,58.849,0.0,
206,08/10/2025 14:56:33.000 GMT+03:00,32.64632345,35.142773063,58.511,0.0,
207,08/10/2025 14:57:05.000 GMT+03:00,32.646176088,35.142502018,59.662,0.0,
208,08/10/2025 14:57:29.000 GMT+03:00,32.64605729,35.142301668,60.295,0.0,
209,08/10/2025 14:57:55.000 GMT+03:00,32.645943563,35.142085403,60.129,0.0,
210,08/10/2025 14:58:19.000 GMT+03:00,32.645831483,35.141873877,60.219,0.0,
211,08/10/2025 14:58:44.000 GMT+03:00,32.645720205,35.141668872,60.484,0.0,
212,08/10/2025 14:59:11.000 GMT+03:00,32.645608183,35.141462097,60.164,0.0,
213,08/10/2025 14:59:35.000 GMT+03:00,32.645498805,35.141260738,60.933,0.0,
214,08/10/2025 15:00:00.000 GMT+03:00,32.645385993,35.141057463,60.937,0.0,
215,08/10/2025 15:00:25.000 GMT+03:00,32.645271728,35.140841207,60.212,0.0,
216,08/10/2025 15:00:49.000 GMT+03:00,32.645162865,35.140630015,60.294,0.0,
217,08/10/2025 15:01:14.000 GMT+03:00,32.645044295,35.14041143,60.7,0.0,
218,08/10/2025 15:01:41.000 GMT+03:00,32.644937248,35.14021748,60.835,0.0,
