ObjectID,Speed,Heading,Elevation,Attrib_1
370.0,4.148,288.0,-48.6,3.0
371.0,5.259,295.0,-48.5,3.0
372.0,3.907,288.0,-48.4,3.0
373.0,1.889,306.0,-48.2,0.0
374.0,4.166,300.0,-48.1,3.0
375.0,0.222,300.0,-48.0,3.0
376.0,0.24,293.0,-47.8,3.0
377.0,0.185,75.0,-47.9,2.0
378.0,3.278,294.0,-48.0,3.0
379.0,0.037,299.0,-47.7,3.0
380.0,0.5,293.0,-47.4,3.0
381.0,0.203,284.0,-47.5,3.0
382.0,0.148,319.0,-47.3,3.0
383.0,0.814,299.0,-47.0,3.0
384.0,0.24,289.0,-46.9,3.0
385.0,4.185,297.0,-46.8,3.0
386.0,0.222,283.0,-46.6,3.0
387.0,0.296,283.0,-46.2,3.0
388.0,0.537,277.0,-45.9,3.0
389.0,4.741,291.0,-46.2,3.0
390.0,0.092,296.0,-46.0,2.0
391.0,0.351,280.0,-45.8,3.0
392.0,1.222,268.0,-45.6,3.0
393.0,1.388,315.0,-45.5,3.0
394.0,0.185,294.0,-45.3,3.0
395.0,0.129,282.0,-45.2,3.0
396.0,3.759,293.0,-44.8,3.0
397.0,0.314,293.0,-44.6,3.0
398.0,1.722,312.0,-44.3,3.0
399.0,0.481,286.0,-44.1,3.0
400.0,1.629,307.0,-44.0,3.0
401.0,0.055,290.0,-43.9,3.0
402.0,5.333,296.0,-43.8,3.0
403.0,0.833,300.0,-43.6,3.0
404.0,0.222,266.0,-43.2,2.0
405.0,4.352,301.0,-43.0,3.0
406.0,0.222,278.0,-43.1,2.0
407.0,0.666,290.0,-42.8,2.0
408.0,0.296,296.0,-42.6,2.0
409.0,0.888,300.0,-42.3,2.0
410.0,0.481,311.0,-42.2,2.0
411.0,0.629,254.0,-41.8,1.0
412.0,0.351,296.0,-41.8,1.0
413.0,0.277,284.0,-41.7,2.0
414.0,0.407,265.0,-41.6,1.0
415.0,2.666,280.0,-41.5,2.0
416.0,0.111,117.0,-41.2,1.0
417.0,0.203,276.0,-41.1,1.0
418.0,0.37,288.0,-40.9,2.0
419.0,0.129,7.0,-40.8,2.0
420.0,0.351,302.0,-40.5,2.0
421.0,0.555,25.0,-40.1,2.0
422.0,0.074,289.0,-40.0,2.0
423.0,0.351,320.0,-39.7,2.0
424.0,0.074,278.0,-39.7,2.0
425.0,0.296,262.0,-39.6,2.0
426.0,0.203,286.0,-39.2,1.0
427.0,0.203,45.0,-39.1,1.0
428.0,0.407,34.0,-38.6,2.0
429.0,0.092,274.0,-38.3,2.0
430.0,0.314,292.0,-38.2,3.0
431.0,0.24,288.0,-38.2,2.0
432.0,0.277,270.0,-37.9,2.0
433.0,1.388,246.0,-37.4,3.0
434.0,0.129,308.0,-37.4,3.0
435.0,0.259,278.0,-37.3,3.0
436.0,0.259,290.0,-37.0,3.0
437.0,0.5,291.0,-36.9,3.0
438.0,0.888,198.0,-36.7,2.0
439.0,3.296,284.0,-36.6,3.0
440.0,0.481,323.0,-36.4,2.0
441.0,1.37,42.0,-36.3,1.0
442.0,0.703,286.0,-36.0,2.0
443.0,0.148,73.0,-36.7,0.0
444.0,0.055,73.0,-36.6,2.0
445.0,0.129,220.0,-36.9,1.0
446.0,0.166,119.0,-36.9,1.0
447.0,0.796,129.0,-36.9,1.0
448.0,0.351,152.0,-36.9,1.0
449.0,0.425,125.0,-36.9,1.0
450.0,0.333,271.0,-37.1,1.0
451.0,4.444,95.0,-37.5,2.0
