Id,Aleketleve,Comments,CHANGE_FLG,CHANGE_DAT,ORIG_REC_N,AleketLvl,SamplProp,RNDSELSS,POINT_X,POINT_Y
100609165.0,1.0,,1,2010-06-09,0,1,12,0,246331.14,708347.790973
100609166.0,1.0,,1,2010-06-09,0,1,12,0,246330.27,708337.030973
100609167.0,1.0,,1,2010-06-09,0,1,12,0,246329.42,708325.900973
100609168.0,1.0,,1,2010-06-09,0,1,12,0,246328.89,708315.220973
100609169.0,2.0,,1,2010-06-09,0,2,0,0,246328.23,708304.380973
100609170.0,3.0,,1,2010-06-09,0,3,0,0,246327.35,708294.600973
100609171.0,3.0,,1,2010-06-09,0,3,0,0,246326.42,708284.010973
100609172.0,3.0,,1,2010-06-09,0,3,0,0,246325.7,708272.680973
100609173.0,2.0,,1,2010-06-09,0,2,0,0,246325.27,708261.700973
100609174.0,2.0,,1,2010-06-09,0,2,0,0,246324.49,708250.860973
100609175.0,3.0,,1,2010-06-09,0,3,0,0,246323.67,708239.990973
100609176.0,2.0,,1,2010-06-09,0,2,0,0,246323.13,708229.440973
100609177.0,1.0,,1,2010-06-09,0,1,12,0,246322.12,708217.530973
100609178.0,1.0,,1,2010-06-09,0,1,12,0,246299.25,708220.340973
100609179.0,3.0,,1,2010-06-09,0,3,0,0,246300.21,708230.990973
100609180.0,3.0,,1,2010-06-09,0,3,0,1,246301.46,708241.970973
100609181.0,2.0,,1,2010-06-09,0,2,0,0,246302.26,708252.730973
100609182.0,2.0,,1,2010-06-09,0,2,0,0,246303.11,708263.730973
100609183.0,2.0,,1,2010-06-09,0,2,0,0,246303.8,708274.120973
100609184.0,2.0,,1,2010-06-09,0,2,0,1,246304.4,708284.620973
100609185.0,2.0,,1,2010-06-09,0,2,0,0,246305.22,708295.190973
100609186.0,2.0,,1,2010-06-09,0,2,0,0,246306.01,708305.910973
100609187.0,2.0,,1,2010-06-09,0,2,0,0,246306.7,708316.730973
100609188.0,1.0,,1,2010-06-09,0,1,12,0,246307.42,708327.140973
100609189.0,1.0,,1,2010-06-09,0,1,12,0,246308.12,708337.410973
100609190.0,0.0,,1,2010-06-09,0,0,4,0,246308.73,708347.750973
100609191.0,0.0,,1,2010-06-09,0,0,4,0,246309.31,708358.040973
100609192.0,0.0,,1,2010-06-09,0,0,4,1,246309.85,708368.160973
100609193.0,0.0,,1,2010-06-09,0,0,4,0,246310.53,708378.950973
100609194.0,1.0,,1,2010-06-09,0,1,12,0,246311.2,708389.710973
100609195.0,1.0,,1,2010-06-09,0,1,12,0,246311.94,708400.040973
100609196.0,1.0,Missing beds,1,2010-06-09,0,1,12,0,246289.72,708401.810973
100609197.0,1.0,,1,2010-06-09,0,1,12,1,246288.78,708390.960973
100609198.0,1.0,,1,2010-06-09,0,1,12,0,246288.4,708380.720973
100609199.0,0.0,,1,2010-06-09,0,0,4,0,246287.74,708370.610973
100609200.0,1.0,,1,2010-06-09,0,1,12,0,246286.9,708360.660973
100609201.0,0.0,,1,2010-06-09,0,0,4,1,246286.07,708350.460973
100609202.0,1.0,,1,2010-06-09,0,1,12,0,246285.55,708340.310973
100609203.0,1.0,,1,2010-06-09,0,1,12,0,246284.81,708329.900973
100609204.0,2.0,,1,2010-06-09,0,2,0,0,246284.06,708319.590973
100609205.0,1.0,,1,2010-06-09,0,1,12,0,246283.31,708310.440973
100609206.0,1.0,,1,2010-06-09,0,1,12,0,246282.5,708300.490973
100609207.0,1.0,,1,2010-06-09,0,1,12,0,246281.85,708290.770973
100609208.0,2.0,,1,2010-06-09,0,2,0,0,246281.51,708280.510973
100609209.0,1.0,,1,2010-06-09,0,1,12,0,246280.48,708270.150973
100609210.0,1.0,,1,2010-06-09,0,1,12,0,246279.93,708260.690973
100609211.0,1.0,,1,2010-06-09,0,1,12,0,246279.45,708250.870973
100609212.0,1.0,,1,2010-06-09,0,1,12,0,246278.71,708240.950973
100609213.0,1.0,,1,2010-06-09,0,1,12,0,246277.89,708230.720973
100609214.0,1.0,,1,2010-06-09,0,1,12,0,246277.52,708223.160973
100609215.0,0.0,,1,2010-06-09,0,0,4,0,246254.54,708226.060973
100609216.0,1.0,,1,2010-06-09,0,1,12,0,246255.36,708237.150973
100609217.0,1.0,,1,2010-06-09,0,1,12,0,246256.01,708247.890973
100609218.0,1.0,,1,2010-06-09,0,1,12,0,246256.81,708259.090973
100609219.0,1.0,,1,2010-06-09,0,1,12,0,246257.62,708269.650973
100609220.0,1.0,,1,2010-06-09,0,1,12,0,246258.25,708280.090973
100609221.0,1.0,,1,2010-06-09,0,1,12,0,246258.9,708290.630973
100609222.0,1.0,,1,2010-06-09,0,1,12,1,246259.52,708300.910973
100609223.0,1.0,,1,2010-06-09,0,1,12,0,246260.38,708311.610973
100609224.0,1.0,,1,2010-06-09,0,1,12,0,246260.95,708321.850973
100609225.0,1.0,,1,2010-06-09,0,1,12,0,246261.7,708332.370973
100609226.0,1.0,,1,2010-06-09,0,1,12,0,246262.29,708342.630973
100609227.0,1.0,,1,2010-06-09,0,1,12,0,246263.12,708352.990973
100609228.0,0.0,,1,2010-06-09,0,0,4,1,246263.94,708363.010973
100609229.0,1.0,,1,2010-06-09,0,1,12,0,246264.55,708373.520973
100609230.0,0.0,,1,2010-06-09,0,0,4,0,246265.31,708383.780973
100609231.0,0.0,,1,2010-06-09,0,0,4,0,246265.94,708394.170973
100609232.0,1.0,,1,2010-06-09,0,1,12,0,246266.76,708404.670973
100609233.0,1.0,,1,2010-06-09,0,1,12,0,246267.69,708414.430973
100609234.0,1.0,,1,2010-06-09,0,1,12,0,246243.9,708409.400973
100609235.0,0.0,,1,2010-06-09,0,0,4,0,246243.16,708398.530973
100609236.0,0.0,,1,2010-06-09,0,0,4,1,246242.41,708387.920973
100609237.0,0.0,,1,2010-06-09,0,0,4,0,246241.75,708377.010973
100609238.0,1.0,,1,2010-06-09,0,1,12,0,246241.11,708367.440973
100609239.0,1.0,,1,2010-06-09,0,1,12,0,246240.37,708357.250973
100609240.0,1.0,,1,2010-06-09,0,1,12,0,246239.51,708347.230973
100609241.0,1.0,,1,2010-06-09,0,1,12,0,246238.85,708336.990973
100609242.0,0.0,,1,2010-06-09,0,0,4,0,246238.47,708326.730973
100609243.0,1.0,,1,2010-06-09,0,1,12,0,246237.9,708316.410973
100609244.0,0.0,,1,2010-06-09,0,0,4,0,246237.41,708306.120973
100609245.0,1.0,,1,2010-06-09,0,1,12,0,246236.45,708295.760973
100609246.0,1.0,,1,2010-06-09,0,1,12,1,246236.13,708285.560973
100609247.0,1.0,,1,2010-06-09,0,1,12,0,246235.33,708275.390973
100609248.0,1.0,,1,2010-06-09,0,1,12,0,246234.78,708264.880973
100609249.0,1.0,,1,2010-06-09,0,1,12,0,246234.08,708254.600973
100609250.0,1.0,,1,2010-06-09,0,1,12,0,246233.28,708243.930973
100609251.0,1.0,,1,2010-06-09,0,1,12,0,246232.47,708232.600973
100609252.0,0.0,,1,2010-06-09,0,0,4,0,246209.3,708234.290973
100609253.0,1.0,,1,2010-06-09,0,1,12,0,246210.08,708243.540973
100609254.0,0.0,,1,2010-06-09,0,0,4,0,246210.57,708253.800973
100609255.0,1.0,,1,2010-06-09,0,1,12,0,246211.37,708264.590973
100609256.0,1.0,,1,2010-06-09,0,1,12,0,246211.87,708275.000973
100609257.0,1.0,,1,2010-06-09,0,1,12,0,246212.53,708285.630973
100609258.0,1.0,,1,2010-06-09,0,1,12,0,246213.07,708296.660973
100609259.0,1.0,,1,2010-06-09,0,1,12,0,246213.87,708307.770973
100609260.0,1.0,,1,2010-06-09,0,1,12,0,246214.31,708318.790973
100609261.0,1.0,,1,2010-06-09,0,1,12,0,246214.83,708329.550973
100609262.0,0.0,,1,2010-06-09,0,0,4,0,246215.21,708340.660973
100609263.0,1.0,,1,2010-06-09,0,1,12,0,246215.9,708351.640973
100609264.0,0.0,,1,2010-06-09,0,0,4,0,246216.67,708362.550973
100609265.0,0.0,,1,2010-06-09,0,0,4,0,246217.5,708372.710973
100609266.0,0.0,,1,2010-06-09,0,0,4,0,246217.97,708379.810973
100609267.0,0.0,,1,2010-06-09,0,0,4,1,246218.73,708390.540973
100609268.0,0.0,,1,2010-06-09,0,0,4,0,246219.47,708400.650973
100609269.0,0.0,,1,2010-06-09,0,0,4,0,246220.02,708410.810973
100609270.0,0.0,There is melon in western side of plot,1,2010-06-09,0,0,4,0,246221.61,708425.590973
