OBJECTID,Od,Aleket,Commends,X,Y
204,1174.000000000000000,1.000000000000000, ,236291.519999999550000,720848.160000000150000
205,1175.000000000000000,1.000000000000000, ,236302.400000000370000,720848.480000000450000
206,1176.000000000000000,2.000000000000000, ,236314.400000000370000,720848.279999999330000
207,1177.000000000000000,3.000000000000000, ,236325.599999999630000,720848.279999999330000
208,1178.000000000000000,1.000000000000000, ,236339.019999999550000,720848.550000000750000
209,1179.000000000000000,1.000000000000000, ,236352.700000000190000,720848.279999999330000
210,1180.000000000000000,1.000000000000000, ,236364.379999999890000,720848.759999999780000
211,1181.000000000000000,2.000000000000000, ,236376.820000000300000,720848.550000000750000
212,1182.000000000000000,2.000000000000000, ,236385.299999999810000,720849.029999999330000
213,1183.000000000000000,3.000000000000000, ,236396.889999999660000,720848.970000000670000
214,1184.000000000000000,3.000000000000000, ,236407.929999999700000,720848.810000000520000
215,1185.000000000000000,2.000000000000000, ,236419.959999999960000,720848.519999999550000
216,1186.000000000000000,2.000000000000000, ,236431.389999999660000,720848.589999999850000
217,1187.000000000000000,2.000000000000000, ,236442.429999999700000,720848.910000000150000
218,1188.000000000000000,1.000000000000000, ,236452.889999999660000,720849.259999999780000
219,1189.000000000000000,2.000000000000000, ,236453.000000000000000,720826.099999999630000
220,1190.000000000000000,2.000000000000000, ,236441.000000000000000,720826.099999999630000
221,1191.000000000000000,3.000000000000000, ,236429.629999999890000,720825.720000000670000
222,1192.000000000000000,3.000000000000000, ,236417.269999999550000,720825.369999999180000
223,1193.000000000000000,3.000000000000000, ,236405.110000000340000,720825.210000000890000
224,1194.000000000000000,2.000000000000000, ,236393.849999999630000,720825.480000000450000
225,1195.000000000000000,2.000000000000000, ,236382.809999999590000,720825.800000000750000
226,1196.000000000000000,2.000000000000000, ,236369.809999999590000,720824.970000000670000
227,1197.000000000000000,2.000000000000000, ,236358.820000000300000,720824.769999999550000
228,1198.000000000000000,2.000000000000000, ,236345.700000000190000,720824.929999999700000
229,1199.000000000000000,2.000000000000000, ,236333.740000000220000,720825.279999999330000
230,1200.000000000000000,2.000000000000000, ,236320.780000000260000,720825.119999999180000
231,1201.000000000000000,2.000000000000000, ,236309.740000000220000,720825.119999999180000
232,1202.000000000000000,1.000000000000000, ,236298.540000000040000,720825.119999999180000
233,1203.000000000000000,1.000000000000000, ,236286.540000000040000,720825.439999999480000
234,1204.000000000000000,1.000000000000000, ,236274.700000000190000,720825.119999999180000
235,1205.000000000000000,1.000000000000000, ,236262.379999999890000,720824.800000000750000
236,1206.000000000000000,1.000000000000000, ,236249.290000000040000,720825.369999999180000
237,1207.000000000000000,1.000000000000000, ,236239.690000000410000,720824.890000000600000
238,1208.000000000000000,2.000000000000000, ,236228.450000000190000,720824.380000000820000
239,1209.000000000000000,2.000000000000000, ,236219.009999999780000,720824.060000000520000
240,1210.000000000000000,2.000000000000000, ,236207.370000000110000,720824.960000000890000
241,1211.000000000000000,2.000000000000000, ,236196.169999999930000,720824.320000000300000
242,1212.000000000000000,1.000000000000000, ,236181.589999999850000,720823.839999999850000
243,1213.000000000000000,1.000000000000000, ,236170.299999999810000,720824.500000000000000
244,1214.000000000000000,1.000000000000000, ,236157.980000000450000,720824.660000000150000
245,1215.000000000000000,1.000000000000000, ,236146.150000000370000,720824.529999999330000
246,1216.000000000000000,1.000000000000000, ,236135.429999999700000,720824.689999999480000
247,1217.000000000000000,1.000000000000000, ,236123.759999999780000,720824.279999999330000
248,1218.000000000000000,1.000000000000000, ,236113.679999999700000,720824.599999999630000
249,1219.000000000000000,1.000000000000000, ,236102.320000000300000,720824.119999999180000
250,1220.000000000000000,1.000000000000000, ,236089.870000000110000,720824.400000000370000
251,1221.000000000000000,1.000000000000000, ,236079.309999999590000,720823.759999999780000
252,1222.000000000000000,1.000000000000000, ,236067.950000000190000,720823.519999999550000
253,1223.000000000000000,1.000000000000000, ,236057.070000000300000,720823.839999999850000
254,1224.000000000000000,1.000000000000000, ,236045.110000000340000,720823.539999999110000
255,1225.000000000000000,1.000000000000000, ,236032.580000000070000,720823.330000000070000
256,1226.000000000000000,1.000000000000000, ,236020.419999999930000,720823.330000000070000
257,1227.000000000000000,1.000000000000000, ,236009.139999999660000,720823.500000000000000
258,1228.000000000000000,1.000000000000000, ,235996.450000000190000,720823.310000000520000
259,1229.000000000000000,1.000000000000000, ,235984.929999999700000,720823.949999999250000
260,1230.000000000000000,1.000000000000000, ,235973.070000000300000,720823.310000000520000
261,1231.000000000000000,1.000000000000000, ,235962.349999999630000,720823.789999999110000
262,1232.000000000000000,1.000000000000000, ,235949.889999999660000,720823.919999999930000
263,1233.000000000000000,1.000000000000000, ,235940.610000000340000,720823.599999999630000
264,1234.000000000000000,1.000000000000000, ,235933.049999999810000,720802.470000000670000
265,1235.000000000000000,1.000000000000000, ,235943.169999999930000,720802.250000000000000
266,1236.000000000000000,1.000000000000000, ,235954.679999999700000,720801.839999999850000
267,1237.000000000000000,1.000000000000000, ,235966.230000000450000,720801.589999999850000
268,1238.000000000000000,1.000000000000000, ,235977.790000000040000,720801.189999999480000
269,1239.000000000000000,1.000000000000000, ,235989.929999999700000,720801.279999999330000
270,1240.000000000000000,1.000000000000000, ,236001.919999999930000,720801.179999999700000
271,1241.000000000000000,1.000000000000000, ,236014.570000000300000,720801.179999999700000
272,1242.000000000000000,1.000000000000000, ,236027.860000000340000,720800.429999999700000
273,1243.000000000000000,1.000000000000000, ,236039.480000000450000,720800.720000000670000
274,1244.000000000000000,1.000000000000000, ,236050.150000000370000,720800.830000000070000
275,1245.000000000000000,1.000000000000000, ,236061.120000000110000,720801.019999999550000
276,1246.000000000000000,1.000000000000000, ,236072.740000000220000,720801.119999999180000
277,1247.000000000000000,1.000000000000000,Include water lines,236085.309999999590000,720801.380000000820000
278,1248.000000000000000,1.000000000000000, ,236096.860000000340000,720800.060000000520000
279,1249.000000000000000,1.000000000000000, ,236109.059999999590000,720799.779999999330000
280,1250.000000000000000,2.000000000000000, ,236118.410000000150000,720800.109999999400000
281,1251.000000000000000,2.000000000000000, ,236128.780000000260000,720799.960000000890000
282,1252.000000000000000,1.000000000000000, ,236140.519999999550000,720800.029999999330000
283,1253.000000000000000,1.000000000000000, ,236150.730000000450000,720800.169999999930000
284,1254.000000000000000,2.000000000000000, ,236162.500000000000000,720800.279999999330000
285,1255.000000000000000,2.000000000000000, ,236174.450000000190000,720800.080000000070000
286,1256.000000000000000,2.000000000000000, ,236186.919999999930000,720800.179999999700000
287,1257.000000000000000,2.000000000000000, ,236198.980000000450000,720800.000000000000000
288,1258.000000000000000,2.000000000000000, ,236210.400000000370000,720800.410000000150000
289,1259.000000000000000,2.000000000000000, ,236222.150000000370000,720800.599999999630000
290,1260.000000000000000,1.000000000000000, ,236233.389999999660000,720800.710000000890000
291,1261.000000000000000,1.000000000000000, ,236244.389999999660000,720800.929999999700000
292,1262.000000000000000,2.000000000000000, ,236255.870000000110000,720800.619999999180000
293,1263.000000000000000,2.000000000000000, ,236266.730000000450000,720800.410000000150000
294,1264.000000000000000,2.000000000000000, ,236279.049999999810000,720800.560000000520000
295,1265.000000000000000,2.000000000000000, ,236291.389999999660000,720800.900000000370000
296,1266.000000000000000,3.000000000000000, ,236303.530000000260000,720801.089999999850000
297,1267.000000000000000,3.000000000000000, ,236314.959999999960000,720801.000000000000000
298,1268.000000000000000,3.000000000000000, ,236326.730000000450000,720801.000000000000000
299,1269.000000000000000,3.000000000000000, ,236339.230000000450000,720801.019999999550000
300,1270.000000000000000,2.000000000000000, ,236352.309999999590000,720800.949999999250000
