Id,image1
100609229.0,16/04/2010
100609230.0,16/04/2010
100609231.0,16/04/2010
100609232.0,16/04/2010
100609233.0,16/04/2010
100609234.0,16/04/2010
100609235.0,16/04/2010
100609236.0,16/04/2010
100609237.0,16/04/2010
100609238.0,16/04/2010
100609239.0,16/04/2010
100609240.0,16/04/2010
100609241.0,16/04/2010
100609242.0,16/04/2010
100609243.0,16/04/2010
100609244.0,16/04/2010
100609245.0,16/04/2010
100609246.0,16/04/2010
100609247.0,16/04/2010
100609248.0,16/04/2010
100609249.0,16/04/2010
100609250.0,16/04/2010
100609251.0,16/04/2010
100609252.0,16/04/2010
100609253.0,16/04/2010
100609254.0,16/04/2010
100609255.0,16/04/2010
100609256.0,16/04/2010
100609257.0,16/04/2010
100609258.0,16/04/2010
100609259.0,16/04/2010
100609260.0,16/04/2010
100609261.0,16/04/2010
100609262.0,16/04/2010
100609263.0,16/04/2010
100609264.0,16/04/2010
100609265.0,16/04/2010
100609266.0,16/04/2010
100609267.0,16/04/2010
100609268.0,16/04/2010
100609269.0,16/04/2010
100609270.0,16/04/2010
